# Cash-sleeve accounting — the ONLY capital the agent trades. Append-only; newest at bottom.
# Rules enforced by this sleeve (see CLAUDE.md §0):
#   - initial_cash ~= $800 (confirm exact from Webull on connect)
#   - sleeve_total = cash + value of agent-opened (sleeve) positions; never includes protected holdings
#   - <=15% of sleeve_total per position (exceed only with emailed owner approval)
#   - swing/PDT-safe: <=3 day-trades per rolling 5 business days; respect cash settlement
#   - stocks only, long only; no options/margin/shorting
#   - 7% stop-loss from cost basis on every sleeve position
# action = INCEPTION | BUY | SELL | STOP_SELL | PAPER_BUY | PAPER_SELL | RECONCILE
# realized_pnl = cumulative realized profit/loss from sleeve trades since inception.
date,action,ticker,shares,price,cash_after,positions_value,sleeve_total,realized_pnl,note
2026-06-12,INCEPTION,,,,897.79,0.00,897.79,0.00,Sleeve = cash $897.79 (live Webull read). NOTE only $34.75 settled / $863.04 unsettled / buying power $0.00 -> no spendable cash yet. No agent positions; all 5 holdings are protected.
2026-06-16,RECONCILE,,,,897.88,0.00,897.88,0.00,Mid-2 live Webull read. Cash now FULLY SETTLED: Settled Cash $897.88 / Option Buying Power $897.88 / Unsettled $0.00. +$0.09 vs inception (interest/rounding). Buying power constraint resolved. Protected COHR/ALL/KTOS/UNCY/CTRI reconciled & untouched. No sleeve positions; no trades.
2026-06-17,RECONCILE,,,,897.88,0.00,897.88,0.00,Mid-1 live Webull read (connector UP). Settled Cash / Option BP $897.88 / Unsettled $0.00. No drift vs 6/16. Protected COHR/ALL/KTOS/UNCY/CTRI confirmed & untouched. No sleeve positions; pre-FOMC, no trades (rate-sensitive candidates held into 2pm decision).
2026-06-17,BUY,SPY,0.15,750.01,785.38,112.50,897.88,0.00,LIVE order A2JGT08VQIHH7FP5OFIVT0PO98 filled 14:03:21Z (=10:03 ET; prior journal mislabeled as 14:03 ET). Defensive deployment per §0.9 floor + owner-directed test trade. Cash after: 897.88 - 112.50 = 785.38. Stop-loss trigger: <= $697.51.
2026-06-17,SELL,SPY,0.15,750.38,897.94,0.00,897.94,0.06,RECONCILE (found in order history Mid-3). Morning SPY round-trip CLOSED by owner: SELL 0.15@750.38 order ICGOKDD5RKOC6TTBINANQMG879 filled 14:04:56Z (=10:04 ET) ~95s after the buy = owner end-to-end execution test. Realized +0.06 (0.15*(750.38-750.01)). =1 day-trade used today (PDT 1/3). NOTE: separately the owner sold PROTECTED COHR 0.7@382.56 (~$267.79) - NOT a sleeve action; those proceeds are the owner's, not sleeve capital.
2026-06-17,BUY,IBM,0.47,264.08,773.82,124.12,897.94,0.06,LIVE orders A2H8MK40N00ICP4E1OTI773QK9 (0.41) + PPIMI1E0LLKV0PK5P5RBH0B31A (0.06 topup) ~15:21 ET. Defensive deployment §0.9. Owner-requested name. 13.8% of sleeve. Stop -7%: <= $245.59.
2026-06-17,BUY,JNJ,0.49,232.85,659.72,238.22,897.94,0.06,LIVE order B7J2218KH70O23HTGNBH0TRAV9 ~15:21 ET. Healthcare defensive. 12.7% of sleeve. Stop -7%: <= $216.55.
2026-06-17,BUY,XOM,0.80,140.92,546.98,350.96,897.94,0.06,LIVE order 4HJG1GGT7T53DJTBITC1ALJOEB ~15:21 ET. Energy/inflation hedge. 12.6% of sleeve. Stop -7%: <= $131.06.
2026-06-17,BUY,SPY,0.15,743.09,435.52,462.42,897.94,0.06,LIVE order C6IS0273F99957OPNMRL4S1I38 ~15:22 ET. #1 defensive floor ETF (substituted for KO after Webull rejected KO qty 1.38). 12.4% of sleeve. Stop -7%: <= $691.07. AFTER ALL BUYS: deployment 462.42/897.94 = 51.5% (>=50% floor MET). Cash 435.52 = settled 322.93 + unsettled 112.56 (SPY proceeds). Account also holds ~267.79 owner COHR proceeds = NOT sleeve.
2026-06-17,RECONCILE,,,,435.49,462.30,897.79,0.06,Close 16:51 ET live Webull reconcile. Sleeve positions at close last-prices: IBM 0.47@262.88=123.55, JNJ 0.49@234.01=114.66, XOM 0.80@140.85=112.68, SPY 0.15@742.69=111.40 -> positions 462.30. Sleeve cash 435.49 = account cash 703.28 - owner COHR 267.79 (settled 322.93 + unsettled SPY 112.56). Sleeve total 897.79 (~flat: realized +0.06, unrealized -0.13). Deployment 462.30/897.79 = 51.5% (floor MET). Protected ALL/KTOS/UNCY/CTRI live-confirmed untouched. No trades (market closed). No stop-loss breaches.
