ticker,event_date,event_type,event_title,dispatched_on
MU,2026-06-24,earnings,[Agent] MU: Earnings Jun 24 — HBM/DRAM read-through for NVDA (report after close; action window = Wed 6/25 open),2026-06-20
FDX,2026-06-24,earnings,[Agent] FDX: Earnings Jun 24 — Global-freight / consumer-demand read,2026-06-20
MU,2026-06-25,window,[Agent] MU: Post-Earnings Action Window Jun 25 — enter on 6/24 beat + raised guide at open,2026-06-20
NKE,2026-06-26,earnings,[Agent] NKE: Earnings Jun 26 — Consumer-discretionary read,2026-06-20
CEG,2026-06-30,lockup,[Agent] CEG: Calpine Lockup Release Jun 30 — technical supply overhang; dip = add opportunity,2026-06-20
MACRO,2026-07-13,window,[Agent] MACRO: Q2 Bank Earnings Window Jul 13 — JPM/BAC/GS Q2 results; BAC NII thesis catalyst,2026-06-20
FDX,2026-06-23,earnings,[Agent] FDX: Earnings Jun 23 — Global-freight / consumer-demand read (after close),2026-06-22
NKE,2026-06-25,earnings,[Agent] NKE: Earnings Jun 25 — Consumer-discretionary read (after close),2026-06-22
MACRO,2026-06-25,macro,[Agent] MACRO: PCE (May) Jun 25 — core inflation print; hot = hawkish-regime confirm,2026-06-22
IONQ,2026-09-08,window,[Agent] IONQ: Investor Day Sep 8 — quantum forward catalyst,2026-06-25
NKE,2026-06-30,earnings,[Agent] NKE: Earnings Jun 30 — Consumer-discretionary read (fiscal Q4) [CORRECTED date; 6/25 & 6/26 dispatches were wrong],2026-06-26
MACRO,2026-07-02,macro,[Agent] MACRO: June Jobs Report Jul 2 — nonfarm payrolls 8:30 ET; informs BAC NII,2026-06-30
MACRO,2026-07-28,macro,[Agent] MACRO: FOMC Jul 28-29 — ~97% hold, no dot plot,2026-07-03
CEG,2026-07-30,earnings,[Agent] CEG: Earnings Jul 30 — Q2 print (the #1 sleeve add),2026-07-06
